SKU,Channel,Date,Sales
798304169072,Shopify,1/1/2023,13
798304169072,Shopify,2/1/2023,115
798304169072,Shopify,3/1/2023,147
798304169072,Shopify,4/1/2023,108
798304169072,Shopify,5/1/2023,134
798304169072,Shopify,6/1/2023,115
798304169072,Shopify,7/1/2023,143
798304169072,Shopify,8/1/2023,113
798304169072,Shopify,9/1/2023,148
798304169072,Shopify,10/1/2023,95
798304169072,Shopify,11/1/2023,134
798304441550,Shopify,12/1/2023,67
798304441550,Shopify,1/1/2023,1
798304441550,Shopify,2/1/2023,6
798304441550,Shopify,3/1/2023,4
798304441550,Shopify,4/1/2023,5
798304441550,Shopify,5/1/2023,2
798304441550,Shopify,6/1/2023,3
798304441550,Shopify,7/1/2023,5
798304441550,Shopify,8/1/2023,8
798304441550,Shopify,9/1/2023,7
798304441550,Shopify,10/1/2023,8
798304441550,Shopify,11/1/2023,5
798304395136,Shopify,12/1/2023,6
798304395136,Shopify,1/1/2023,0
798304395136,Shopify,2/1/2023,27
798304395136,Shopify,3/1/2023,32
798304395136,Shopify,4/1/2023,42
798304395136,Shopify,5/1/2023,25
798304395136,Shopify,6/1/2023,32
798304395136,Shopify,7/1/2023,51
798304395136,Shopify,8/1/2023,35
798304395136,Shopify,9/1/2023,10
798304395136,Shopify,10/1/2023,32
798304395136,Shopify,11/1/2023,11
798304169089,Shopify,12/1/2023,31
798304169089,Shopify,1/1/2023,1
798304169089,Shopify,2/1/2023,59
798304169089,Shopify,3/1/2023,52
798304169089,Shopify,4/1/2023,51
798304169089,Shopify,5/1/2023,61
798304169089,Shopify,6/1/2023,56
798304169089,Shopify,7/1/2023,61
798304169089,Shopify,8/1/2023,39
798304169089,Shopify,9/1/2023,56
798304169089,Shopify,10/1/2023,51
798304169089,Shopify,11/1/2023,96
810128952972,Shopify,12/1/2023,47
810128952972,Shopify,1/1/2023,0
810128952972,Shopify,2/1/2023,0
810128952972,Shopify,3/1/2023,0
810128952972,Shopify,4/1/2023,0
810128952972,Shopify,5/1/2023,0
810128952972,Shopify,6/1/2023,0
810128952972,Shopify,7/1/2023,0
810128952972,Shopify,8/1/2023,0
810128952972,Shopify,9/1/2023,0
810128952972,Shopify,10/1/2023,0
810128952972,Shopify,11/1/2023,0
798304173284,Shopify,12/1/2023,0
798304173284,Shopify,1/1/2023,0
798304173284,Shopify,2/1/2023,0
798304173284,Shopify,3/1/2023,5
798304173284,Shopify,4/1/2023,20
798304173284,Shopify,5/1/2023,10
798304173284,Shopify,6/1/2023,9
798304173284,Shopify,7/1/2023,12
798304173284,Shopify,8/1/2023,22
798304173284,Shopify,9/1/2023,9
798304173284,Shopify,10/1/2023,5
798304173284,Shopify,11/1/2023,11
810128951951,Shopify,12/1/2023,19
810128951951,Shopify,1/1/2023,0
810128951951,Shopify,2/1/2023,0
810128951951,Shopify,3/1/2023,0
810128951951,Shopify,4/1/2023,0
810128951951,Shopify,5/1/2023,0
810128951951,Shopify,6/1/2023,0
810128951951,Shopify,7/1/2023,0
810128951951,Shopify,8/1/2023,0
810128951951,Shopify,9/1/2023,2
810128951951,Shopify,10/1/2023,10
810128951951,Shopify,11/1/2023,2
810128952873,Shopify,12/1/2023,1
810128952873,Shopify,1/1/2023,0
810128952873,Shopify,2/1/2023,0
810128952873,Shopify,3/1/2023,0
810128952873,Shopify,4/1/2023,0
810128952873,Shopify,5/1/2023,0
810128952873,Shopify,6/1/2023,0
810128952873,Shopify,7/1/2023,0
810128952873,Shopify,8/1/2023,0
810128952873,Shopify,9/1/2023,0
810128952873,Shopify,10/1/2023,0
810128952873,Shopify,11/1/2023,0
798304451924,Shopify,12/1/2023,0
798304451924,Shopify,1/1/2023,0
798304451924,Shopify,2/1/2023,2
798304451924,Shopify,3/1/2023,0
798304451924,Shopify,4/1/2023,0
798304451924,Shopify,5/1/2023,3
798304451924,Shopify,6/1/2023,0
798304451924,Shopify,7/1/2023,3
798304451924,Shopify,8/1/2023,0
798304451924,Shopify,9/1/2023,1
798304451924,Shopify,10/1/2023,1
798304451924,Shopify,11/1/2023,0
798304395068,Shopify,12/1/2023,0
798304395068,Shopify,1/1/2023,0
798304395068,Shopify,2/1/2023,0
798304395068,Shopify,3/1/2023,3
798304395068,Shopify,4/1/2023,10
798304395068,Shopify,5/1/2023,11
798304395068,Shopify,6/1/2023,9
798304395068,Shopify,7/1/2023,15
798304395068,Shopify,8/1/2023,7
798304395068,Shopify,9/1/2023,5
798304395068,Shopify,10/1/2023,25
798304395068,Shopify,11/1/2023,20
798304493375,Shopify,12/1/2023,32
798304493375,Shopify,1/1/2023,0
798304493375,Shopify,2/1/2023,0
798304493375,Shopify,3/1/2023,0
798304493375,Shopify,4/1/2023,0
798304493375,Shopify,5/1/2023,1
798304493375,Shopify,6/1/2023,2
798304493375,Shopify,7/1/2023,0
798304493375,Shopify,8/1/2023,17
798304493375,Shopify,9/1/2023,3
798304493375,Shopify,10/1/2023,5
798304493375,Shopify,11/1/2023,4
798304460827,Shopify,12/1/2023,5
798304460827,Shopify,1/1/2023,0
798304460827,Shopify,2/1/2023,1
798304460827,Shopify,3/1/2023,15
798304460827,Shopify,4/1/2023,3
798304460827,Shopify,5/1/2023,6
798304460827,Shopify,6/1/2023,8
798304460827,Shopify,7/1/2023,8
798304460827,Shopify,8/1/2023,10
798304460827,Shopify,9/1/2023,3
798304460827,Shopify,10/1/2023,5
798304460827,Shopify,11/1/2023,6
810128952125,Shopify,12/1/2023,5
810128952125,Shopify,1/1/2023,0
810128952125,Shopify,2/1/2023,0
810128952125,Shopify,3/1/2023,0
810128952125,Shopify,4/1/2023,0
810128952125,Shopify,5/1/2023,0
810128952125,Shopify,6/1/2023,0
810128952125,Shopify,7/1/2023,0
810128952125,Shopify,8/1/2023,0
810128952125,Shopify,9/1/2023,0
810128952125,Shopify,10/1/2023,0
810128952125,Shopify,11/1/2023,0
798304214161,Shopify,12/1/2023,1
798304214161,Shopify,1/1/2023,0
798304214161,Shopify,2/1/2023,20
798304214161,Shopify,3/1/2023,10
798304214161,Shopify,4/1/2023,8
798304214161,Shopify,5/1/2023,11
798304214161,Shopify,6/1/2023,13
798304214161,Shopify,7/1/2023,11
798304214161,Shopify,8/1/2023,12
798304214161,Shopify,9/1/2023,46
798304214161,Shopify,10/1/2023,16
798304214161,Shopify,11/1/2023,1
850035852538,Shopify,12/1/2023,0
850035852538,Shopify,1/1/2023,0
850035852538,Shopify,2/1/2023,0
850035852538,Shopify,3/1/2023,5
850035852538,Shopify,4/1/2023,2
850035852538,Shopify,5/1/2023,0
850035852538,Shopify,6/1/2023,0
850035852538,Shopify,7/1/2023,1
850035852538,Shopify,8/1/2023,1
850035852538,Shopify,9/1/2023,10
